Year of Date,State,CountySt,County,CityState,City,Targeted,Bounces,Exits,New Users,Number of Records,Pageviews,Session Duration,Sessions,Time On Page,Unique Pageviews,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Bethel, Connecticut",Bethel,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Bridgeport, Connecticut",Bridgeport,Targeted,72,76,43,47,85,239,76,239,77,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Brookfield, Connecticut",Brookfield,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Danbury, Connecticut",Danbury,Targeted,3,6,5,6,12,171,6,171,7,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Darien, Connecticut",Darien,Targeted,0,2,2,2,11,252,2,252,9,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Easton, Connecticut",Easton,Targeted,1,2,2,2,6,95,2,95,3,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Fairfield, Connecticut",Fairfield,Targeted,20,22,12,22,25,42,22,42,22,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Greenwich, Connecticut",Greenwich,Targeted,2,2,2,2,2,0,2,0,2,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Monroe, Connecticut",Monroe,Targeted,5,5,4,4,5,0,5,0,5,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"New Canaan, Connecticut",New Canaan,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"New Fairfield, Connecticut",New Fairfield,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Newtown, Connecticut",Newtown,Targeted,11,11,5,9,11,0,11,0,11,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Norwalk, Connecticut",Norwalk,Targeted,44,50,33,35,63,"1,813",50,"1,812",58,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Redding, Connecticut",Redding,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Shelton, Connecticut",Shelton,Targeted,5,6,6,6,7,2,6,2,7,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Sherman, Connecticut",Sherman,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Stamford, Connecticut",Stamford,Targeted,20,22,14,19,24,667,22,667,22,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Stratford, Connecticut",Stratford,Targeted,15,15,7,12,15,0,15,0,15,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Trumbull, Connecticut",Trumbull,Targeted,17,18,14,16,19,12,18,12,18,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Weston, Connecticut",Weston,Targeted,2,2,0,2,2,0,2,0,2,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Westport, Connecticut",Westport,Targeted,8,8,7,8,8,0,8,0,8,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Wilton, Connecticut",Wilton,Targeted,4,4,3,4,4,0,4,0,4,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Avon, Connecticut",Avon,Targeted,5,6,6,5,9,85,6,84,8,No Event
2017,Connecticut,"Hartford, CT",Hartford,"Canton, Connecticut",Canton,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Enfield, Connecticut",Enfield,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Hartford, Connecticut",Hartford,Targeted,9,10,6,8,11,0,10,0,10,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Manchester, Connecticut",Manchester,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Hartford, CT",Hartford,"New Britain, Connecticut",New Britain,Targeted,2,2,2,1,2,0,2,0,2,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Newington, Connecticut",Newington,Targeted,3,4,2,4,5,962,4,962,4,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"West Hartford, Connecticut",West Hartford,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Windsor, Connecticut",Windsor,Targeted,1,1,0,1,1,0,1,0,1,EventCity
2017,Connecticut,"Middlesex, CT",Middlesex,"Cromwell, Connecticut",Cromwell,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Middlesex, CT",Middlesex,"Durham, Connecticut",Durham,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Middlesex, CT",Middlesex,"Middletown, Connecticut",Middletown,Other,0,1,1,1,2,87,1,87,2,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Ansonia, Connecticut",Ansonia,Targeted,1,1,1,1,1,0,1,0,1,EventCity
