Geo Targeted Areas,Student Type,Initial Referral Source,Stealth,Month of Created Date,Created Date (group),Month of Initial Source Date,Initial Source Date (group),Primary State/Province,"Primary City, Primary County, Primary State/Province (group)",City,Purchased Lead Names,Created Date,Lead,Inquiry,Applied,Admitted,Confirmed,Enrolled,County,CountySt,CitySt,EventCity
Geo Targets,First-Year Student,ACTT,Not Stealth,Jun-17,8/15/2016-8/14/2017,Sep-17,8/15/2017-8/14/2018,NH,"Rockingham County, NH",Stratham,Lead Names,6/6/2017,1,1,0,0,0,0,Rockingham ,"Rockingham , NH","Stratham, NH",NoEvent
Geo Targets,First-Year Student,ACTT,Not Stealth,Jun-17,8/15/2016-8/14/2017,Nov-17,8/15/2017-8/14/2018,NH,"Rockingham County, NH",Exeter,Lead Names,6/6/2017,1,1,1,1,0,0,Rockingham ,"Rockingham , NH","Exeter, NH",EventCity
Geo Targets,First-Year Student,ACTT,Not Stealth,Nov-17,8/15/2017-8/14/2018,Nov-17,8/15/2017-8/14/2018,NH,"Rockingham County, NH",Windham,Not Lead Purchase,11/15/2017,1,1,1,1,0,0,Rockingham ,"Rockingham , NH","Windham, NH",NoEvent
Geo Targets,First-Year Student,APPL,Stealth,Sep-14,Before 8/15/2016,Nov-17,8/15/2017-8/14/2018,NH,"Rockingham County, NH",Hampton,Not Lead Purchase,9/7/2014,3,3,3,3,0,0,Rockingham ,"Rockingham , NH","Hampton, NH",NoEvent
Geo Targets,First-Year Student,APPL,Stealth,Oct-14,Before 8/15/2016,Nov-18,8/15/2018-present,CT,"Fairfield County, CT",Stamford,Not Lead Purchase,10/20/2014,1,1,1,0,0,0,Fairfield ,"Fairfield , CT","Stamford, CT",EventCity
Geo Targets,First-Year Student,APPL,Stealth,Jun-15,Before 8/15/2016,Sep-18,8/15/2018-present,CT,New London County CT,Gales Ferry,Not Lead Purchase,6/4/2015,1,1,1,0,0,0,New London,"New London, CT","Gales Ferry, CT",NoEvent
Geo Targets,First-Year Student,APPL,Stealth,Dec-16,8/15/2016-8/14/2017,Oct-17,8/15/2017-8/14/2018,MA,"Essex County, MA",Methuen,Lead Names,12/12/2016,1,1,1,1,0,0,Essex ,"Essex , MA","Methuen, MA",EventCity
Geo Targets,First-Year Student,APPL,Stealth,Dec-16,8/15/2016-8/14/2017,Oct-17,8/15/2017-8/14/2018,NH,"Hillsborough County, NH",Nashua,Lead Names,12/12/2016,2,2,2,2,0,0,Hillsborough ,"Hillsborough , NH","Nashua, NH",NoEvent
Geo Targets,First-Year Student,APPL,Stealth,Dec-16,8/15/2016-8/14/2017,Oct-17,8/15/2017-8/14/2018,NH,"Merrimack County, NH",Chichester,Lead Names,12/12/2016,3,3,3,3,0,0,Merrimack ,"Merrimack , NH","Chichester, NH",NoEvent
Geo Targets,First-Year Student,APPL,Stealth,Dec-16,8/15/2016-8/14/2017,Oct-17,8/15/2017-8/14/2018,NH,"Strafford County, NH",Dover,Lead Names,12/12/2016,2,2,2,2,0,0,Strafford ,"Strafford , NH","Dover, NH",NoEvent
