"CityState","Geo.Targeted.Areas","Student.Type","Initial.Referral.Source","Stealth","Month.of.Created.Date","Created.Date..group.","Month.of.Initial.Source.Date","Initial.Source.Date..group.","Primary.State.Province","Primary.City..Primary.County..Primary.State.Province..group.","City","Purchased.Lead.Names","Created.Date","Lead","Inquiry","Applied","Admitted","Confirmed","Enrolled","County","CountySt","EventCity","ZIP","State","lat","lon"
"Stratham, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Jun-17","8/15/2016-8/14/2017","Sep-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Stratham","Lead Names","6/6/2017",1,1,0,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3885,"NH",43.015756,-70.90192
"Exeter, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Exeter","Lead Names","6/6/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","EventCity",3833,"NH",42.973783,-70.97665
"Windham, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Windham","Not Lead Purchase","11/15/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","NoEvent",3087,"NH",42.805194,-71.29878
"Hampton, NH","Geo Targets","First-Year Student","APPL","Stealth","Sep-14","Before 8/15/2016","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Hampton","Not Lead Purchase","9/7/2014",3,3,3,3,0,0,"Rockingham ","Rockingham , NH","NoEvent",3842,"NH",42.93569,-70.82514
"Stamford, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-14","Before 8/15/2016","Nov-18","8/15/2018-present","CT","Fairfield County, CT","Stamford","Not Lead Purchase","10/20/2014",1,1,1,0,0,0,"Fairfield ","Fairfield , CT","EventCity",6901,"CT",41.051996,-73.53903
"Gales Ferry, CT","Geo Targets","First-Year Student","APPL","Stealth","Jun-15","Before 8/15/2016","Sep-18","8/15/2018-present","CT","New London County CT","Gales Ferry","Not Lead Purchase","6/4/2015",1,1,1,0,0,0,"New London","New London, CT","NoEvent",6335,"CT",41.426775,-72.07227
"Methuen, MA","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Essex County, MA","Methuen","Lead Names","12/12/2016",1,1,1,1,0,0,"Essex ","Essex , MA","EventCity",1844,"MA",42.73004,-71.17935
"Nashua, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Nashua","Lead Names","12/12/2016",2,2,2,2,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3030,"NH",42.749988,-71.46431
"Chichester, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Chichester","Lead Names","12/12/2016",3,3,3,3,0,0,"Merrimack ","Merrimack , NH","NoEvent",3258,"NH",43.255881,-71.397599
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Strafford County, NH","Dover","Lead Names","12/12/2016",2,2,2,2,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Andover, MA","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Andover","Lead Names","12/12/2016",3,3,3,3,0,0,"Essex ","Essex , MA","NoEvent",1810,"MA",42.646942,-71.1513
"Franklin, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Franklin","Lead Names","12/12/2016",6,6,6,6,0,0,"Merrimack ","Merrimack , NH","NoEvent",3235,"NH",43.444456,-71.66034
"Amherst, NH","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Amherst","Lead Names","2/14/2017",4,4,4,4,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3031,"NH",42.854886,-71.6082
"Lynn, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Lynn","Lead Names","2/14/2017",2,2,2,0,0,0,"Essex ","Essex , MA","NoEvent",1901,"MA",42.461246,-70.946743
"Manchester, NH","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Manchester","Lead Names","2/14/2017",1,1,1,1,0,0,"Hillsborough ","Hillsborough , NH","EventCity",3101,"NH",42.989984,-71.46376
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","May-17","8/15/2016-8/14/2017","Nov-18","8/15/2018-present","NH","Strafford County, NH","Dover","Not Lead Purchase","5/9/2017",5,5,5,0,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Lynnfield, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Essex County, MA","Lynnfield","Lead Names","6/6/2017",1,1,1,1,0,0,"Essex ","Essex , MA","NoEvent",1940,"MA",42.527895,-71.02834
"Littleton, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Littleton","Lead Names","6/6/2017",2,2,2,2,0,0,"Middlesex ","Middlesex , MA","NoEvent",1460,"MA",42.540052,-71.49085
"North Billerica, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","North Billerica","Lead Names","6/6/2017",1,1,1,1,0,0,"Middlesex ","Middlesex , MA","NoEvent",1862,"MA",42.573592,-71.2911
"Wakefield, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Wakefield","Lead Names","6/6/2017",2,2,2,2,0,0,"Middlesex ","Middlesex , MA","NoEvent",1880,"MA",42.501345,-71.07132
"Methuen, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Methuen","Lead Names","6/6/2017",1,1,1,0,0,0,"Essex ","Essex , MA","EventCity",1844,"MA",42.73004,-71.17935
"Everett, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Everett","Lead Names","6/6/2017",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",2149,"MA",42.409916,-71.0522
"Somerville, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Somerville","Lead Names","6/6/2017",1,1,1,1,0,0,"Middlesex ","Middlesex , MA","NoEvent",2143,"MA",42.381929,-71.09908
"Bedford, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Bedford","Lead Names","6/6/2017",2,2,2,2,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3110,"NH",42.942551,-71.51993
"Newfields, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Newfields","Lead Names","6/6/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","NoEvent",3856,"NH",43.03833,-70.95076
"Salem, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Salem","Lead Names","6/6/2017",2,2,2,2,0,0,"Rockingham ","Rockingham , NH","EventCity",3079,"NH",42.792456,-71.21316
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Strafford County, NH","Dover","Lead Names","6/6/2017",1,1,1,1,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Osterville, MA","Geo Targets","First-Year Student","APPL","Stealth","Sep-17","8/15/2017-8/14/2018","Sep-17","8/15/2017-8/14/2018","MA","Barnstable County, MA","Osterville","Not Lead Purchase","9/20/2017",1,1,1,1,0,0,"Barnstable ","Barnstable , MA","NoEvent",2655,"MA",41.632935,-70.38693
"Bridgeport, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Fairfield County, CT","Bridgeport","Not Lead Purchase","10/4/2017",2,2,2,0,0,0,"Fairfield ","Fairfield , CT","EventCity",6601,"CT",41.308873,-73.363661
"Enfield, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Hartford County, CT","Enfield","Not Lead Purchase","10/17/2017",1,1,1,1,0,0,"Hartford ","Hartford , CT","EventCity",6082,"CT",41.987238,-72.56365
"New Milford, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Litchfield County, CT","New Milford","Not Lead Purchase","10/11/2017",4,4,4,4,4,0,"Litchfield ","Litchfield , CT","NoEvent",6776,"CT",41.581494,-73.41313
"South Dartmouth, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Bristol County, MA","South Dartmouth","Not Lead Purchase","10/19/2017",2,2,2,2,0,0,"Bristol ","Bristol , MA","NoEvent",2748,"MA",41.59156,-70.9494
"Brimfield, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Hampden County, MA","Brimfield","Not Lead Purchase","10/31/2017",1,1,1,0,0,0,"Hampden ","Hampden , MA","NoEvent",1010,"MA",42.126038,-72.20552
"Quincy, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Norfolk County, MA","Quincy","Not Lead Purchase","10/28/2017",1,1,1,1,0,0,"Norfolk ","Norfolk , MA","NoEvent",2169,"MA",42.250739,-70.99593
"Concord, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Concord","Not Lead Purchase","10/25/2017",1,1,1,1,0,0,"Merrimack ","Merrimack , NH","EventCity",3301,"NH",43.213705,-71.53774
"Manchester, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","NH","Hillsborough County, NH","Manchester","Lead Names","10/12/2017",4,4,4,0,0,0,"Hillsborough ","Hillsborough , NH","EventCity",3101,"NH",42.989984,-71.46376
"Atkinson, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","NH","Rockingham County, NH","Atkinson","Lead Names","10/12/2017",1,1,1,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3811,"NH",42.836245,-71.16246
