"CitySt","Year","State","County","City","Targeted","Bounces","Exits","New.Users","Number.of.Records","Pageviews","Session.Duration","Sessions","Time.On.Page","Unique.Pageviews","EventCity","CityState","ZIP","lat","lon"
"Bethel, CT",2017,"Connecticut","Fairfield","Bethel","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Bridgeport, CT",2017,"Connecticut","Fairfield","Bridgeport","Targeted","72","76","43",47,"85","239","76","239","77","EventCity",NA,NA,NA,NA
"Brookfield, CT",2017,"Connecticut","Fairfield","Brookfield","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Danbury, CT",2017,"Connecticut","Fairfield","Danbury","Targeted","3","6","5",6,"12","171","6","171","7","EventCity",NA,NA,NA,NA
"Darien, CT",2017,"Connecticut","Fairfield","Darien","Targeted","0","2","2",2,"11","252","2","252","9","No Event",NA,NA,NA,NA
"Easton, CT",2017,"Connecticut","Fairfield","Easton","Targeted","1","2","2",2,"6","95","2","95","3","No Event",NA,NA,NA,NA
"Fairfield, CT",2017,"Connecticut","Fairfield","Fairfield","Targeted","20","22","12",22,"25","42","22","42","22","EventCity",NA,NA,NA,NA
"Greenwich, CT",2017,"Connecticut","Fairfield","Greenwich","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Monroe, CT",2017,"Connecticut","Fairfield","Monroe","Targeted","5","5","4",4,"5","0","5","0","5","No Event",NA,NA,NA,NA
"New Canaan, CT",2017,"Connecticut","Fairfield","New Canaan","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"New Fairfield, CT",2017,"Connecticut","Fairfield","New Fairfield","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Newtown, CT",2017,"Connecticut","Fairfield","Newtown","Targeted","11","11","5",9,"11","0","11","0","11","No Event",NA,NA,NA,NA
"Norwalk, CT",2017,"Connecticut","Fairfield","Norwalk","Targeted","44","50","33",35,"63","1,813","50","1,812","58","No Event",NA,NA,NA,NA
"Redding, CT",2017,"Connecticut","Fairfield","Redding","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Shelton, CT",2017,"Connecticut","Fairfield","Shelton","Targeted","5","6","6",6,"7","2","6","2","7","EventCity",NA,NA,NA,NA
"Sherman, CT",2017,"Connecticut","Fairfield","Sherman","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Stamford, CT",2017,"Connecticut","Fairfield","Stamford","Targeted","20","22","14",19,"24","667","22","667","22","EventCity",NA,NA,NA,NA
"Stratford, CT",2017,"Connecticut","Fairfield","Stratford","Targeted","15","15","7",12,"15","0","15","0","15","No Event",NA,NA,NA,NA
"Trumbull, CT",2017,"Connecticut","Fairfield","Trumbull","Targeted","17","18","14",16,"19","12","18","12","18","EventCity",NA,NA,NA,NA
"Weston, CT",2017,"Connecticut","Fairfield","Weston","Targeted","2","2","0",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Westport, CT",2017,"Connecticut","Fairfield","Westport","Targeted","8","8","7",8,"8","0","8","0","8","No Event",NA,NA,NA,NA
"Wilton, CT",2017,"Connecticut","Fairfield","Wilton","Targeted","4","4","3",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Avon, CT",2017,"Connecticut","Hartford","Avon","Targeted","5","6","6",5,"9","85","6","84","8","No Event",NA,NA,NA,NA
"Canton, CT",2017,"Connecticut","Hartford","Canton","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Enfield, CT",2017,"Connecticut","Hartford","Enfield","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Hartford, CT",2017,"Connecticut","Hartford","Hartford","Targeted","9","10","6",8,"11","0","10","0","10","EventCity",NA,NA,NA,NA
"Manchester, CT",2017,"Connecticut","Hartford","Manchester","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"New Britain, CT",2017,"Connecticut","Hartford","New Britain","Targeted","2","2","2",1,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Newington, CT",2017,"Connecticut","Hartford","Newington","Targeted","3","4","2",4,"5","962","4","962","4","EventCity",NA,NA,NA,NA
"West Hartford, CT",2017,"Connecticut","Hartford","West Hartford","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Windsor, CT",2017,"Connecticut","Hartford","Windsor","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Cromwell, CT",2017,"Connecticut","Middlesex","Cromwell","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Durham, CT",2017,"Connecticut","Middlesex","Durham","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Middletown, CT",2017,"Connecticut","Middlesex","Middletown","Other","0","1","1",1,"2","87","1","87","2","No Event",NA,NA,NA,NA
"Ansonia, CT",2017,"Connecticut","New Haven","Ansonia","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Branford, CT",2017,"Connecticut","New Haven","Branford","Targeted","5","8","5",8,"14","139","8","139","8","No Event",NA,NA,NA,NA
"Cheshire, CT",2017,"Connecticut","New Haven","Cheshire","Targeted","13","14","12",12,"18","1,392","14","1,392","15","EventCity",NA,NA,NA,NA
"Derby, CT",2017,"Connecticut","New Haven","Derby","Targeted","3","3","2",2,"3","0","3","0","3","No Event",NA,NA,NA,NA
"East Haven, CT",2017,"Connecticut","New Haven","East Haven","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Guilford, CT",2017,"Connecticut","New Haven","Guilford","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Hamden, CT",2017,"Connecticut","New Haven","Hamden","Targeted","3","4","3",3,"5","0","4","0","4","EventCity",NA,NA,NA,NA
"Madison, CT",2017,"Connecticut","New Haven","Madison","Targeted","3","3","2",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Meriden, CT",2017,"Connecticut","New Haven","Meriden","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Milford, CT",2017,"Connecticut","New Haven","Milford","Targeted","15","15","11",12,"15","0","15","0","15","No Event",NA,NA,NA,NA
"Naugatuck, CT",2017,"Connecticut","New Haven","Naugatuck","Targeted","35","36","25",32,"37","17","36","17","36","No Event",NA,NA,NA,NA
"New Haven, CT",2017,"Connecticut","New Haven","New Haven","Targeted","52","52","40",45,"52","0","52","0","52","No Event",NA,NA,NA,NA
"North Haven, CT",2017,"Connecticut","New Haven","North Haven","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Orange, CT",2017,"Connecticut","New Haven","Orange","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Seymour, CT",2017,"Connecticut","New Haven","Seymour","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Southbury, CT",2017,"Connecticut","New Haven","Southbury","Targeted","2","3","3",3,"4","12","3","12","3","No Event",NA,NA,NA,NA
"Wallingford, CT",2017,"Connecticut","New Haven","Wallingford","Targeted","8","8","8",7,"8","0","8","0","8","No Event",NA,NA,NA,NA
"Waterbury, CT",2017,"Connecticut","New Haven","Waterbury","Targeted","3","3","3",3,"3","0","3","0","3","EventCity",NA,NA,NA,NA
"West Haven, CT",2017,"Connecticut","New Haven","West Haven","Targeted","2","2","1",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Woodbridge, CT",2017,"Connecticut","New Haven","Woodbridge","Targeted","7","9","6",7,"13","116","9","116","11","No Event",NA,NA,NA,NA
"Groton, CT",2017,"Connecticut","New London","Groton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Norwich, CT",2017,"Connecticut","New London","Norwich","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Waterford, CT",2017,"Connecticut","New London","Waterford","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Mansfield, CT",2017,"Connecticut","Tolland","Mansfield","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Thompson, CT",2017,"Connecticut","Windham","Thompson","Other","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Windham, CT",2017,"Connecticut","Windham","Windham","Other","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Barnstable, MA",2017,"Massachusetts","Barnstable","Barnstable","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Dennis, MA",2017,"Massachusetts","Barnstable","Dennis","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Yarmouth, MA",2017,"Massachusetts","Barnstable","Yarmouth","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Williamstown, MA",2017,"Massachusetts","Berkshire","Williamstown","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Attleboro, MA",2017,"Massachusetts","Bristol","Attleboro","Targeted","7","7","7",7,"7","0","7","0","7","EventCity",NA,NA,NA,NA
"Fall River, MA",2017,"Massachusetts","Bristol","Fall River","Targeted","4","5","3",5,"8","3","5","4","5","EventCity",NA,NA,NA,NA
"Mansfield, MA",2017,"Massachusetts","Bristol","Mansfield","Targeted","0","1","1",1,"3","933","1","932","1","No Event",NA,NA,NA,NA
"New Bedford, MA",2017,"Massachusetts","Bristol","New Bedford","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"North Attleborough, MA",2017,"Massachusetts","Bristol","North Attleborough","Targeted","5","5","3",3,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Norton, MA",2017,"Massachusetts","Bristol","Norton","Targeted","2","2","1",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Rehoboth, MA",2017,"Massachusetts","Bristol","Rehoboth","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Seekonk, MA",2017,"Massachusetts","Bristol","Seekonk","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Swansea, MA",2017,"Massachusetts","Bristol","Swansea","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Taunton, MA",2017,"Massachusetts","Bristol","Taunton","Targeted","5","7","4",6,"10","209","7","209","7","EventCity",NA,NA,NA,NA
"Amesbury, MA",2017,"Massachusetts","Essex","Amesbury","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Andover, MA",2017,"Massachusetts","Essex","Andover","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Beverly, MA",2017,"Massachusetts","Essex","Beverly","Targeted","4","4","3",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Boxford, MA",2017,"Massachusetts","Essex","Boxford","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Gloucester, MA",2017,"Massachusetts","Essex","Gloucester","Targeted","39","39","17",28,"39","0","39","0","39","No Event",NA,NA,NA,NA
